absolute_path,relative_path,filename,extension,file_type,size_bytes,size_mb,created_date,modified_date,category,confidence,rules_matched,needs_review
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/confidence_analysis.json,backtest_results/MSFT_20251218_234033/confidence_analysis.json,confidence_analysis.json,.json,CONFIG_JSON,249,0.0002,2025-12-18T23:40:39.334962,2025-12-18T23:40:39.334962,TEST,0.95,"[""path contains 'test_'"", 'config file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/confidence_sizing_comparison.json,backtest_results/MSFT_20251218_234033/confidence_sizing_comparison.json,confidence_sizing_comparison.json,.json,CONFIG_JSON,159,0.0002,2025-12-18T23:40:41.374966,2025-12-18T23:40:41.374966,TEST,0.95,"[""path contains 'test_'"", 'config file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/confidence_trade_log.csv,backtest_results/MSFT_20251218_234033/confidence_trade_log.csv,confidence_trade_log.csv,.csv,DATA_CSV,7263,0.0069,2025-12-18T23:40:39.338962,2025-12-18T23:40:39.338962,TEST,0.95,"[""path contains 'test_'"", 'data file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/dashboard.png,backtest_results/MSFT_20251218_234033/dashboard.png,dashboard.png,.png,OTHER,617118,0.5885,2025-12-18T23:40:41.362966,2025-12-18T23:40:41.362966,TEST,0.95,"[""path contains 'test_'""]",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/drawdowns.csv,backtest_results/MSFT_20251218_234033/drawdowns.csv,drawdowns.csv,.csv,DATA_CSV,267,0.0003,2025-12-18T23:40:39.650964,2025-12-18T23:40:39.650964,TEST,0.95,"[""path contains 'test_'"", 'data file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/equity_comparison.csv,backtest_results/MSFT_20251218_234033/equity_comparison.csv,equity_comparison.csv,.csv,DATA_CSV,3665,0.0035,2025-12-18T23:40:39.642964,2025-12-18T23:40:39.642964,TEST,0.95,"[""path contains 'test_'"", 'data file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/equity_curve.png,backtest_results/MSFT_20251218_234033/equity_curve.png,equity_curve.png,.png,OTHER,53506,0.051,2025-12-18T23:40:39.642964,2025-12-18T23:40:39.642964,TEST,0.95,"[""path contains 'test_'""]",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/exit_analysis.txt,backtest_results/MSFT_20251218_234033/exit_analysis.txt,exit_analysis.txt,.txt,DOC_TEXT,1399,0.0013,2025-12-18T23:40:39.646964,2025-12-18T23:40:39.646964,TEST,0.95,"[""path contains 'test_'"", 'documentation file']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/position_heatmap.png,backtest_results/MSFT_20251218_234033/position_heatmap.png,position_heatmap.png,.png,OTHER,123865,0.1181,2025-12-18T23:40:40.110967,2025-12-18T23:40:40.110967,TEST,0.95,"[""path contains 'test_'""]",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234033/regime_analysis.json,backtest_results/MSFT_20251218_234033/regime_analysis.json,regime_analysis.json,.json,CONFIG_JSON,1175,0.0011,2025-12-18T23:40:39.646964,2025-12-18T23:40:39.646964,TEST,0.95,"[""path contains 'test_'"", 'config file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_234415/MSFT_prediction_distribution.png,backtest_results/MSFT_20251218_234415/MSFT_prediction_distribution.png,MSFT_prediction_distribution.png,.png,OTHER,64894,0.0619,2025-12-18T23:44:20.810907,2025-12-18T23:44:20.810907,TEST,0.95,"[""path contains 'test_'""]",False
